"Term","rdfs:label","dct:description","rdfs:subClassOf","rdfs:seeAlso","rdfs:comment","rdfs:isDefinedBy","dct:created","sw:term_status","dct:creator","dct:date-accepted","resolution"
"PersonalDataHandling","Personal Data Handling","Top Class to describe a concrete instance of legal personal Data Handling of a defined class of Data Subjects, meaning that a personal Data Category is undergoing specified processing by a specific data controller and/or
transferred to some recipient for a particular purpose, based on a specific legal ground, with specified security measures and restrictions (e.g. storage locations and storage durations).","","","","","2019-04-04","accepted","Axel Polleres, Javier Ferenandez","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"PersonalDataCategory","Personal Data Category","A category of personal data (as defined by GDPR article 4.1) from the personal data categories taxonomy, i.e. for instance denoting the category of an object/field or data item that is used for processing","","http://www.specialprivacy.eu/langs/usage-policy#AnyData","","DPVCG,SPECIAL,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_1/pnt_g/oj","2019-04-04","accepted","Harshvardhan Pandit, Axel Polleres","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"Processing","Processing","A type of processing from one of the processing categories in the processing Taxonomy","","http://www.specialprivacy.eu/langs/usage-policy#AnyProcessing","","DPVCG,SPECIAL","2019-04-04","accepted","Axel Polleres, Javier Ferenandez","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"Purpose","Purpose","The purpose of Data Handling, from the purposes Taxonomy","","http://www.specialprivacy.eu/langs/usage-policy#AnyPurpose","","DPVCG,SPECIAL","2019-04-04","accepted","Axel Polleres, Javier Ferenandez","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"Recipient","Recipient","The entities that can access the result of a data handling action/processing, any legal entity that is defined by article 4.9 of GDPR, which states - 'recipient' means a natural or legal person, public authority, agency or another body, to which the personal data are disclosed, whether a third party or not.","","http://www.specialprivacy.eu/langs/usage-policy#AnyRecipient","","DPVCG,SPECIAL,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_9/pnt_g/oj","2019-04-04","accepted","Axel Polleres, Javier Ferenandez","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"TechnicalOrganisationalMeasure","Technical and Organisational Measure","Technical and organisational measures, for instance security measure, storage restrictions etc. required/followed when processing data of the declared category","","","","DPVCG","2019-04-04","accepted","Bud Bruegger","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"LegalBasis","Legal Basis","A particular legal Basis, which permits personal Data handling (e.g. Consent, etc.)","","","","DPVCG","2019-04-04","accepted","","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"DataSubject","Data Subject","The class of Data Subject that this particular data handling applies to, any legal entity that is defined by article 4.1 of GDPR.","","","The alternative to bind a user or role of users to a policy could be to have a special property ""hasPersonalDataHandling""","https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_1/pnt_g/oj","2019-04-04","accepted","Axel Polleres, Javier Ferenandez","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"DataController","Data Controller","The class of Data Controllers that control this particular data handling, any legal entity that is defined by article 4.7 of GDPR.","","","","https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_7/pnt_g/oj","2019-04-04","accepted","Axel Polleres, Javier Ferenandez","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"Entity","Entity","Represents an Entity (Legal definition). Is used to collect different entities within DPV such as individuals, organisations, recipients.","","","","","","proposed","Harshvardhan J. Pandit","",""
