"preffix","namespace","comments","Provenance source","Discussion date","status-type","Comments","contributor","date-accepted","resolution"
"dpv","http://www.w3.org/ns/dpv#","DPVCG main namespace (used for all terms defined in the DPVCG community group)","","2019-04-04","approved","bud: privacy vs data protection (which affect the namespace). axel: compromise to have the DPV as namespace, which abbreviation still can be changed later (Data Privacy Vocabulary or Data Protection Vocabulary)","Bud, Axel","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"dct","http://purl.org/dc/terms/","Dublin core terms","","","","","","",""
"rdf","http://www.w3.org/1999/02/22-rdf-syntax-ns#","The normative W3C RDF vocabulary","","","","","","",""
"rdfs","http://www.w3.org/2000/01/rdf-schema#","The normative W3C RDFS vocabulary","","","","","","",""
"owl","http://www.w3.org/2002/07/owl#","The normative W3C OWL vocabulary","","","","","","",""
"skos","http://www.w3.org/2004/02/skos/core#","The normative W3C SKOS vocabulary","","","","","","",""
"odrl","http://www.w3.org/ns/odrl/2/","Namespace of the Open Digital Rights Language","","","","","","",""
"spl","http://www.specialprivacy.eu/langs/usage-policy#","SPECIAL Log vocabulary cf. SPECIAL Deliverable D2.5","","","","","","",""
"svd","http://www.specialprivacy.eu/vocabs/data#","Namespace for SPECIAL data categories","","","","","","",""
"svpu","http://www.specialprivacy.eu/vocabs/purposes#","Namespace for SPECIAL purposes","","","","","","",""
"svpr","http://www.specialprivacy.eu/vocabs/processing#","Namespace for SPECIAL processing","","","","","","",""
"svr","http://www.specialprivacy.eu/vocabs/recipients","Namespace for SPECIAL recipients","","","","","","",""
"svl","http://www.specialprivacy.eu/vocabs/locations#","Namespace for SPECIAL locations","","","","","","",""
"svdu","http://www.specialprivacy.eu/vocabs/duration#","Namespace for SPECIAL durations","","","","","","",""
"sw","http://www.w3.org/2003/06/sw-vocab-status/ns#","Namespace for indicating status of terms in vocabulary/ontology","","","","","","",""
"dpv-nace","http://www.w3.org/ns/dpv-nace#","Auxiliary namespace for casting NACE codes as an RDFS hierarchy","","2019-04-04","approved","","","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"dpv-gdpr","http://www.w3.org/ns/dpv-gdpr#","Auxiliary namespace for referring to the legal basis for personal data handling provided by the GDPR","","2019-04-04","approved","Changed from using to refer to articles in GDPR to listing legal basis","","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"altenative?","","","","","","","","",""
"prot","http://www.w3.org/ns/prot","","","","","","","",""
"dpr","http://www.w3.org/ns/dpr","","","","","","","",""
"dpv","http://www.w3.org/ns/dpv","","","","","","","",""
"priv ","http://www.w3.org/ns/priv","","","","","","","",""
