"Term","rdfs:label","dct:description","rdfs:subClassOf","rdfs:seeAlso","rdfs:comment","rdfs:isDefinedBy","dct:created","sw:term_status","dct:creator","dct:date-accepted","resolution"
"DerivedPersonalData","Derived Personal Data","Derived data is data that has not been directly provided by the DataSubject, but has been derived from other collected or externally obtained data.","PersonalDataCategory","http://www.specialprivacy.eu/vocabs/data#Derived","","","2019-05-07","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"InferredPersonalData","Inferred Personal Data","Inferred data is data that has been algorithmically derived from some other data.","DerivedPersonalData","","","","2020-09-30","proposed","Harshvardhan J. Pandit","",""
"SpecialCategoryPersonalData","Special Category Personal Data","Special category or personal data as per GDPR Art. 9 (1)","PersonalDataCategory","","trade union membership, which is explicitly included in the taxative listing in GDPR Art. 9 (1), is not covered yet.","https://eur-lex.europa.eu/eli/reg/2016/679/art_9/par_1/oj","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"FinancialAccountNumber","Financial Account Number","Information about an individual's financial account number","AccountIdentifier","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"CreditCardNumber","Credit Card Number","Information about an individual's credit card number","AccountIdentifier","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"PINCode","PIN Code","An individual's Personal identification number (PIN) used in the process of authenticating the individual as a user accessing a system.","Authenticating","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"Password","Password","An individual's password used in the process of authenticating the individual as a user accessing a system.","Authenticating","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"SecretText","Secret Text","An individual's secret text used in the process of authenticating the individual as a user accessing a system, e.g., when recovering a lost password.","Authenticating","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"Personality","Personality","Information that relates to an individual's personality (e.g., categorization in terms of the Big Five personality traits)","Behavioral","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"Attitude","Attitude","Information that relates to an individual's attitude.","Behavioral","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"BrowsingBehavior","Browsing Behavior","Information that relates to an individual's browsing behaviour.","Behavioral","http://www.specialprivacy.eu/vocabs/data#OnlineActivity","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"CallLog","Call Log","Information on the calls that an individual has made.","Behavioral","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"Demeanor","Demeanor","Information that relates to an individual's demeanor.","Behavioral","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"LinkClicked","LinkClicked","Information on the links that an individual has clicked.","Behavioral","http://www.specialprivacy.eu/vocabs/data#Navigation","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"Fingerprint","Fingerprint","Information related to an individual's fingerprint used for biometric purposes.","Biometric","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"Retina","Retina","Information related to an individual's retina used for biometric purposes.","Biometric","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"EmailContent","Email Content","The contents of Emails that an individual sends or receives.","Communication","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"SocialMediaCommunication","Social Media Communication","Information relating to an individual's social media communication, including the communication itself and metadata.","Communication","http://www.specialprivacy.eu/vocabs/data#Social","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"VoiceCommunicationRecording","Voice Communication Recording","Recording of an individual's recorded communication (e.g. telephony, VoIP)","Communication","","ISSUE-23","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"VoiceMail","Voice Mail","Information about an individual's voice mail messages.","Communication","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"EmailAddress","Email Address","Information about an individual's Email address.","Contact","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
"PhysicalAddress","Physical Address","Information about an individual's physical address.","Contact","","","https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf","2019-04-04","accepted","Elmar Kiesling, Harshvardhan J. Pandit, Fajar Ekaputra","2019-06-04","https://www.w3.org/2019/06/04-dpvcg-minutes.html"
