"Term","Description","ParentTerm","RelatedTerms","Relation","Comment","Source","CreationDate","Status","Contributors","AcceptanceDate","Resolution"
"Acquire","to come into possession or control of the data","dpv:Obtain","","","","DPVCG","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"Adapt","to modify the data, often rewritten into a new form for a new use ","dpv:Transform","","","","https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_2/oj","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"Align","to adjust the data to be in relation to another data","dpv:Transform","","","","https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_2/oj","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"Alter","to change the data withouth changing it into something else","dpv:Transform","","","","https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_2/oj","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"Analyse","to study or examine the data in detail","dpv:Use","svpr:Analyse","rdfs:seeAlso","","https://www.specialprivacy.eu/vocabs/processing","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"Anonymise","to irreversibly alter personal data in such a way that a unique data subject can no longer be identified directly or indirectly or in combination with other data","dpv:Transform","svpr:Anonymize","rdfs:seeAlso","","https://www.specialprivacy.eu/vocabs/processing","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"Collect","to gather data from someone","dpv:Obtain","svpr:Collect","rdfs:seeAlso","","https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_2/oj, https://www.specialprivacy.eu/vocabs/processing","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"Combine","to join or merge data","dpv:Transform","svpr:Aggregate","rdfs:seeAlso","","https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_2/oj, https://www.specialprivacy.eu/vocabs/processing","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"Consult","to consult or query data","dpv:Use","svpr:Query","rdfs:seeAlso","","https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_2/oj, https://www.specialprivacy.eu/vocabs/processing","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"Copy","to produce an exact reprodution of the data","dpv:Processing","svpr:Copy","rdfs:seeAlso","","https://www.specialprivacy.eu/vocabs/processing","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"Derive","to create new derivative data from the original data","dpv:Transform","svpr:Derive","rdfs:seeAlso","","https://www.specialprivacy.eu/vocabs/processing","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"Destruct","to process data in a way it no longer exists or cannot be repaired","dpv:Remove","","","","https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_2/oj","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"Disclose","to make data known","dpv:Processing","","","","DPVCG","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"DiscloseByTransmission","to disclose data by means of transmission","dpv:Disclose","","","","https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_2/oj","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"Disseminate","to spread data throughout","dpv:Disclose","","","","https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_2/oj","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"Erase","to delete data","dpv:Remove","","","","https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_2/oj","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"MakeAvailable","to transform or publish data to be used","dpv:Disclose","","","","https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_2/oj","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"Move","to move data from one location to another including deleting the original copy","dpv:Transfer","svpr:Move","rdfs:seeAlso","","https://www.specialprivacy.eu/vocabs/processing","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"Obtain","to solicit or gather data from someone","dpv:Processing","","","","DPVCG","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"Organise","to organize data for arranging or classifying","dpv:Organise","","","","https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_2/oj","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"Profiling","to create a profile that describes or represents a person","dpv:Use","","","","DPVCG","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"PseudoAnonymise","to replace personal identifiable information by artificial identifiers ","dpv:Transform","","","","DPVCG","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"Record","to make a record (especially media)","dpv:Obtain","","","","https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_2/oj","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
"Remove","to destruct or erase data","dpv:Processing","","","","DPVCG","2019-04-04","accepted","","2019-05-07","https://www.w3.org/2019/05/07-dpvcg-minutes.html"
