"Term","rdfs:label","dct:description","rdfs:subClassOf","rdfs:seeAlso","rdfs:comment","rdfs:isDefinedBy","dct:created","sw:term_status","dct:creator","dct:date-accepted","resolution","","","","","","","","","","","","","","",""
"Context","Context","Used to scope the purpose, e.g. restriction to a certain business sector","","","","","2019-04-04","accepted","","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Sector","Sector","Used to indicate the sector of a purpose e.g. Agriculture, Advertising (specified e.g. in the form of NACE codes)","","","","","2019-04-04","accepted","","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Beneficiary","Beneficiary","self.DataSubject, self.DataController, society ? ( --- under consideration ---)","","","This needs further details, the group is asking feedback about whether Beneficiaries of a specific purposes hould be specified separately or not","","2019-05-23","proposed","","","","","","","","","","","","","","","","","",""
"AcademicResearch","Academic Research","Research conducted in an academic context e.g. within universities","ResearchAndDevelopment","http://www.specialprivacy.eu/vocabs/purposes#Education","","https://www.w3.org/community/dpvcg/wiki/Purposes_for_handling_Personal_Data#High-level_categories_.28to-be-discussed.29","2018-12-10","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"AccessControl","Access Control","To conduct or enforce access control","Security","http://www.specialprivacy.eu/vocabs/purposes#Login","","https://www.w3.org/community/dpvcg/wiki/Purposes_for_handling_Personal_Data#High-level_categories_.28to-be-discussed.29","2018-12-10","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CommercialInterest","Commercial Interest","For purposes of commercial activities i.e. of profit or benefit to the Controller","Purpose","","","https://www.w3.org/community/dpvcg/wiki/Purposes_for_handling_Personal_Data#High-level_categories_.28to-be-discussed.29","2018-12-10","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CommercialResearch","Commercial Research","Research conducted in a commercial setting e.g. in a company","ResearchAndDevelopment","http://www.specialprivacy.eu/vocabs/purposes#Develop","","https://www.w3.org/community/dpvcg/wiki/Purposes_for_handling_Personal_Data#High-level_categories_.28to-be-discussed.29","2018-12-10","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CreateProductRecommendations","Create Product Recommendations","To create product recommendations e.g. suggest similar products","ServicePersonalization","http://www.specialprivacy.eu/vocabs/purposes#Marketing","","https://www.w3.org/community/dpvcg/wiki/Purposes_for_handling_Personal_Data#High-level_categories_.28to-be-discussed.29","2018-12-10","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"CustomerCare","Customer Care","Processes related to providing assistance for customer satisfaction","ServiceProvision","http://www.specialprivacy.eu/vocabs/purposes#Feedback","","https://www.w3.org/community/dpvcg/wiki/Purposes_for_handling_Personal_Data#High-level_categories_.28to-be-discussed.29","2018-12-10","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"DeliveryOfGoods","Delivery of Goods","To deliver goods and services","ServiceProvision","http://www.specialprivacy.eu/vocabs/purposes#Delivery","","https://www.w3.org/community/dpvcg/wiki/Purposes_for_handling_Personal_Data#High-level_categories_.28to-be-discussed.29","2018-12-10","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
