"Term","rdfs:label","dct:description","rdfs:subClassOf","rdfs:seeAlso","rdfs:comment","rdfs:isDefinedBy","dct:created","sw:term_status","dct:creator","dct:date-accepted","resolution"
"TechnicalMeasure","Technical Measure","Technical measures required/followed when processing data of the declared category","TechnicalOrganisationalMeasure","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"PseudonymisationEncryption","Pseudonymisation and Encryption","Category of technical measures consisting of pseudoanonymization and encryption","TechnicalMeasure","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"EncryptionInRest","Encryption in Rest","Encryption of data when being stored (persistent encryption)","PseudonymisationEncryption","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"EncryptionInTransfer","Encryption in Transfer","Encryption of data in transit e.g. when being transferred from one location to another, including sharing","PseudonymisationEncryption","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"PseudoAnonymization","Pseudo-Anonymization","PseudoAnonmyization or 'pseudonymisation’ means the processing of personal data in such a manner that the personal data can no longer be attributed to a specific data subject without the use of additional information, provided that such additional information is kept separately and is subject to technical and organisational measures to ensure that the personal data are not attributed to an identified or identifiable natural person;","PseudonymisationEncryption","","","https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_5/pnt_g/oj","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"DeIdentification","De-Identification","Process by identifiable personal data (PII) is converted to un-identifiable personal data","PseudoAnonymization","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"Anonymization","Anonymization","process by which personal data is irreversibly altered in such a way that a data subject can no longer be identified directly or indirectly, either by the data controller alone or in collaboration with any other party","PseudoAnonymization","","","ISO 25237","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"AccessControlMethod","Access Control Method","methods which restrict access to a place or resource","TechnicalMeasure","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"AuthenticationProtocols","Authentication Protocols","protocols involving validation of identity i.e. authentication of a person or information","TechnicalMeasure","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"StorageRestriction","Storage Restriction","Restrictions required or followed regarding storage of data","TechnicalMeasure","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"StorageDuration","Storage Duration","A duration or temporal entity denoting limitation on storage of personal data","StorageRestriction","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"StorageLocation","Storage Location","Defines a location or goespatial scope, where the data is (physically) stored","StorageRestriction","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"StorageDeletion","Storage Deletion","Defines how secure deletion is guaranteed","StorageRestriction","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
"StorageRestoration","Storage Restoration","Regularity and temporal span of data restoration/backup mechanisms that guarantee that data is preserved","StorageRestriction","","","DPVCG","2019-04-04","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","2019-04-05","https://www.w3.org/2019/04/05-dpvcg-minutes.html"
